OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteVolume,NumberTrades,BaseVolumne,QuoteVolumne,Ignored
2020-07-17 09:37:00,0.00190480,0.00190600,0.00190390,0.00190450,65.60000000,2020-07-17 09:37:59.999,0.12498752,29,29.47000000,0.05615985,0
2020-07-17 09:38:00,0.00190470,0.00190690,0.00190390,0.00190600,91.60000000,2020-07-17 09:38:59.999,0.17455988,49,68.46000000,0.13047090,0
2020-07-17 09:39:00,0.00190610,0.00190850,0.00190540,0.00190800,217.05000000,2020-07-17 09:39:59.999,0.41395459,49,124.08000000,0.23669814,0
2020-07-17 09:40:00,0.00190800,0.00190850,0.00190480,0.00190670,454.24000000,2020-07-17 09:40:59.999,0.86615147,78,227.31000000,0.43347889,0
2020-07-17 09:41:00,0.00190590,0.00190660,0.00190530,0.00190540,88.49000000,2020-07-17 09:41:59.999,0.16863315,38,39.05000000,0.07442841,0
2020-07-17 09:42:00,0.00190540,0.00190570,0.00190530,0.00190540,192.90000000,2020-07-17 09:42:59.999,0.36755396,29,115.53000000,0.22014086,0
2020-07-17 09:43:00,0.00190530,0.00190610,0.00190460,0.00190570,86.14000000,2020-07-17 09:43:59.999,0.16412839,26,26.98000000,0.05142259,0
2020-07-17 09:44:00,0.00190580,0.00190580,0.00190460,0.00190470,20.94000000,2020-07-17 09:44:59.999,0.03990078,21,7.62000000,0.01451752,0
2020-07-17 09:45:00,0.00190470,0.00190470,0.00190330,0.00190370,238.72000000,2020-07-17 09:45:59.999,0.45446077,45,51.15000000,0.09738074,0
2020-07-17 09:46:00,0.00190350,0.00190380,0.00190330,0.00190360,292.01000000,2020-07-17 09:46:59.999,0.55587706,93,216.15000000,0.41147186,0
2020-07-17 09:47:00,0.00190350,0.00190500,0.00190280,0.00190370,562.50000000,2020-07-17 09:47:59.999,1.07106909,47,485.41000000,0.92435818,0
2020-07-17 09:48:00,0.00190560,0.00190610,0.00190550,0.00190610,166.09000000,2020-07-17 09:48:59.999,0.31653254,29,130.22000000,0.24817656,0
2020-07-17 09:49:00,0.00190610,0.00190650,0.00190600,0.00190650,121.35000000,2020-07-17 09:49:59.999,0.23131566,41,87.10000000,0.16603159,0
2020-07-17 09:50:00,0.00190650,0.00190660,0.00190600,0.00190650,110.03000000,2020-07-17 09:50:59.999,0.20977192,31,90.29000000,0.17214235,0
